,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1231,Existing Customer,44.0,M,4.0,High School,Single,$120K +,Blue,37.0,5.0,3.0,3.0,8396.0,1672.0,0.602,1475.0,35.0,0.75,0.19899999999999998
1234,Existing Customer,33.0,F,1.0,High School,Single,Less than $40K,Silver,24.0,5.0,2.0,2.0,12956.0,0.0,1.053,2492.0,56.0,0.9309999999999999,0.0
1235,Existing Customer,47.0,F,5.0,Graduate,Married,Less than $40K,Blue,39.0,3.0,3.0,4.0,7128.0,1560.0,0.573,1468.0,44.0,0.76,0.21899999999999997
1236,Existing Customer,51.0,M,1.0,Unknown,Single,$80K - $120K,Blue,41.0,6.0,2.0,2.0,18749.0,1314.0,0.711,1381.0,33.0,0.435,0.07
1237,Existing Customer,38.0,F,3.0,Graduate,Married,Less than $40K,Blue,18.0,6.0,3.0,2.0,2193.0,1260.0,0.8859999999999999,1799.0,47.0,0.5670000000000001,0.575
1238,Existing Customer,57.0,M,3.0,Doctorate,Married,$80K - $120K,Blue,50.0,3.0,2.0,3.0,4522.0,1861.0,0.9570000000000001,1806.0,38.0,0.727,0.41200000000000003
1239,Existing Customer,36.0,M,4.0,Uneducated,Married,$40K - $60K,Blue,28.0,3.0,1.0,4.0,2157.0,574.0,0.825,1663.0,33.0,0.32,0.266
1240,Existing Customer,35.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,25.0,3.0,1.0,2.0,11927.0,675.0,0.574,1986.0,36.0,0.636,0.057
1241,Existing Customer,55.0,F,2.0,Unknown,Married,Unknown,Blue,50.0,6.0,1.0,4.0,11341.0,0.0,0.41200000000000003,1731.0,46.0,0.586,0.0
1242,Existing Customer,57.0,F,4.0,Doctorate,Married,Unknown,Blue,47.0,4.0,3.0,3.0,7345.0,1814.0,0.47200000000000003,1390.0,30.0,0.25,0.247
1243,Existing Customer,56.0,M,2.0,Doctorate,Married,$60K - $80K,Blue,51.0,3.0,3.0,4.0,6036.0,1409.0,0.56,1741.0,45.0,0.364,0.233
1244,Existing Customer,38.0,F,2.0,High School,Single,Less than $40K,Blue,27.0,6.0,1.0,3.0,2096.0,1567.0,0.778,1559.0,49.0,1.042,0.748
1245,Existing Customer,54.0,F,3.0,Graduate,Married,Less than $40K,Blue,49.0,4.0,1.0,3.0,1906.0,1271.0,0.574,1343.0,37.0,0.682,0.667
1246,Existing Customer,48.0,M,2.0,Unknown,Unknown,$80K - $120K,Blue,35.0,5.0,2.0,4.0,5039.0,0.0,0.757,1390.0,23.0,0.769,0.0
1247,Attrited Customer,53.0,M,1.0,Graduate,Married,$80K - $120K,Blue,42.0,2.0,1.0,2.0,6214.0,1147.0,0.861,938.0,35.0,0.75,0.185
1250,Existing Customer,60.0,F,1.0,College,Married,Less than $40K,Blue,53.0,4.0,3.0,3.0,3346.0,922.0,0.9129999999999999,1276.0,21.0,0.75,0.276
1253,Existing Customer,32.0,F,1.0,Post-Graduate,Married,Less than $40K,Blue,20.0,5.0,2.0,3.0,2234.0,1865.0,0.732,2115.0,59.0,0.439,0.835
1254,Existing Customer,44.0,F,4.0,Uneducated,Married,Less than $40K,Blue,33.0,5.0,4.0,2.0,9671.0,704.0,0.6990000000000001,2955.0,66.0,0.941,0.073
1255,Existing Customer,53.0,F,1.0,College,Single,$40K - $60K,Blue,47.0,5.0,3.0,2.0,6605.0,1479.0,0.7390000000000001,2017.0,47.0,0.679,0.22399999999999998
1257,Attrited Customer,49.0,F,2.0,Graduate,Single,Less than $40K,Blue,31.0,5.0,1.0,2.0,5456.0,951.0,0.737,1096.0,27.0,0.588,0.174
1260,Existing Customer,26.0,F,0.0,Graduate,Single,$40K - $60K,Blue,36.0,5.0,3.0,3.0,3930.0,0.0,0.758,2067.0,42.0,0.355,0.0
1261,Existing Customer,58.0,M,1.0,High School,Married,$60K - $80K,Blue,46.0,3.0,2.0,4.0,4188.0,1147.0,1.042,1276.0,25.0,1.083,0.27399999999999997
1263,Existing Customer,35.0,M,3.0,High School,Single,$80K - $120K,Blue,28.0,4.0,2.0,2.0,11521.0,1147.0,1.023,2260.0,68.0,1.125,0.1
1264,Existing Customer,37.0,M,3.0,High School,Married,$60K - $80K,Blue,32.0,6.0,2.0,2.0,2253.0,1667.0,0.884,1641.0,45.0,0.667,0.74
1267,Existing Customer,49.0,M,2.0,Graduate,Divorced,$60K - $80K,Blue,36.0,5.0,3.0,2.0,4596.0,0.0,0.93,2872.0,62.0,0.722,0.0
1268,Attrited Customer,49.0,M,2.0,Uneducated,Married,$80K - $120K,Blue,43.0,1.0,3.0,3.0,5701.0,2517.0,0.716,961.0,32.0,0.524,0.442
1270,Existing Customer,41.0,F,3.0,Uneducated,Married,Less than $40K,Blue,29.0,5.0,3.0,3.0,3022.0,1142.0,0.40299999999999997,1184.0,21.0,0.615,0.37799999999999995
1271,Existing Customer,32.0,F,0.0,High School,Divorced,Less than $40K,Blue,36.0,5.0,2.0,4.0,2699.0,1609.0,0.893,2141.0,56.0,0.8059999999999999,0.596
1272,Existing Customer,58.0,F,1.0,Uneducated,Married,Less than $40K,Blue,39.0,3.0,3.0,3.0,2210.0,1624.0,0.627,1287.0,37.0,0.48,0.735
1273,Existing Customer,56.0,M,2.0,Post-Graduate,Married,$60K - $80K,Blue,49.0,5.0,3.0,4.0,1438.3,0.0,0.77,1446.0,38.0,0.81,0.0
1274,Existing Customer,37.0,M,2.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,3.0,4.0,2041.0,1687.0,0.677,1555.0,45.0,0.552,0.8270000000000001
1275,Existing Customer,39.0,M,1.0,High School,Married,$120K +,Blue,34.0,4.0,2.0,2.0,3250.0,1698.0,0.767,2006.0,58.0,0.568,0.522
1280,Existing Customer,39.0,M,1.0,Unknown,Married,$80K - $120K,Blue,36.0,6.0,2.0,3.0,2899.0,1999.0,0.8320000000000001,1687.0,35.0,0.591,0.69
1281,Existing Customer,53.0,F,4.0,College,Married,Less than $40K,Blue,36.0,4.0,1.0,3.0,2972.0,2160.0,0.956,2552.0,62.0,0.6759999999999999,0.727
1282,Existing Customer,38.0,F,3.0,Uneducated,Married,Less than $40K,Blue,23.0,6.0,2.0,2.0,5645.0,0.0,1.05,1527.0,32.0,0.455,0.0
1283,Existing Customer,37.0,M,2.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,3.0,2.0,2463.0,1751.0,0.8540000000000001,2171.0,58.0,0.758,0.711
1284,Existing Customer,47.0,F,2.0,Graduate,Married,Less than $40K,Blue,41.0,5.0,3.0,4.0,1438.3,0.0,0.8,1501.0,40.0,0.7390000000000001,0.0
1286,Existing Customer,55.0,F,3.0,High School,Married,Less than $40K,Blue,48.0,6.0,2.0,2.0,2897.0,1601.0,0.878,1337.0,25.0,0.47100000000000003,0.5529999999999999
1288,Existing Customer,62.0,F,0.0,Graduate,Single,Unknown,Blue,36.0,5.0,2.0,4.0,2870.0,2284.0,0.6609999999999999,3946.0,74.0,0.574,0.7959999999999999
1291,Existing Customer,38.0,F,2.0,Uneducated,Single,Less than $40K,Blue,29.0,3.0,3.0,2.0,3590.0,1924.0,0.573,1472.0,37.0,0.762,0.536
1294,Attrited Customer,58.0,F,0.0,High School,Married,Less than $40K,Blue,36.0,3.0,2.0,2.0,7418.0,396.0,0.826,911.0,26.0,1.0,0.053
1295,Existing Customer,60.0,M,1.0,Unknown,Divorced,$40K - $60K,Blue,49.0,4.0,3.0,2.0,3012.0,0.0,0.5379999999999999,1315.0,23.0,0.278,0.0
1298,Existing Customer,39.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,6.0,2.0,3.0,1578.0,760.0,0.7090000000000001,2017.0,43.0,0.955,0.48200000000000004
1299,Existing Customer,60.0,M,0.0,Uneducated,Married,Less than $40K,Blue,49.0,4.0,2.0,4.0,2094.0,1560.0,0.537,1969.0,41.0,0.36700000000000005,0.745
1300,Existing Customer,37.0,F,3.0,High School,Married,Less than $40K,Blue,19.0,5.0,1.0,3.0,4138.0,0.0,1.168,2420.0,50.0,0.613,0.0
1301,Existing Customer,41.0,F,4.0,Graduate,Married,Unknown,Blue,30.0,3.0,1.0,2.0,5417.0,1904.0,0.496,1768.0,56.0,0.556,0.35100000000000003
1304,Existing Customer,56.0,F,4.0,High School,Single,Less than $40K,Blue,36.0,3.0,1.0,3.0,8881.0,2145.0,0.705,2027.0,49.0,0.815,0.242
1306,Existing Customer,41.0,F,2.0,Uneducated,Married,Less than $40K,Blue,33.0,3.0,3.0,3.0,3893.0,1157.0,1.169,1536.0,39.0,0.773,0.297
1308,Existing Customer,59.0,M,1.0,Graduate,Single,$40K - $60K,Blue,53.0,3.0,3.0,3.0,6035.0,1392.0,0.361,1551.0,32.0,0.6,0.231
1309,Existing Customer,55.0,F,1.0,College,Married,Unknown,Blue,36.0,6.0,3.0,2.0,17642.0,1846.0,0.72,2148.0,54.0,0.862,0.105
1312,Existing Customer,44.0,F,2.0,Unknown,Unknown,Less than $40K,Blue,32.0,5.0,1.0,3.0,4852.0,1777.0,0.667,1775.0,55.0,1.037,0.366
1314,Existing Customer,37.0,M,1.0,High School,Married,$60K - $80K,Blue,27.0,6.0,3.0,3.0,10320.0,1799.0,0.75,1754.0,45.0,0.5,0.174
1315,Existing Customer,65.0,F,0.0,Graduate,Married,Less than $40K,Blue,49.0,4.0,2.0,2.0,3297.0,2297.0,0.7440000000000001,1894.0,56.0,0.556,0.6970000000000001
1316,Existing Customer,46.0,M,3.0,College,Married,$60K - $80K,Blue,36.0,5.0,2.0,2.0,9981.0,807.0,0.655,1456.0,30.0,0.667,0.081
1318,Existing Customer,56.0,F,1.0,Uneducated,Married,Less than $40K,Blue,36.0,6.0,3.0,4.0,5991.0,1993.0,0.6729999999999999,1867.0,53.0,0.767,0.33299999999999996
1319,Existing Customer,48.0,M,3.0,Graduate,Married,$40K - $60K,Blue,30.0,3.0,1.0,3.0,3235.0,2517.0,1.091,1637.0,43.0,0.87,0.778
1320,Existing Customer,34.0,M,2.0,High School,Married,$120K +,Blue,21.0,3.0,3.0,3.0,6259.0,1063.0,0.6679999999999999,1836.0,50.0,0.515,0.17
1322,Existing Customer,55.0,M,4.0,Post-Graduate,Married,$80K - $120K,Blue,43.0,6.0,2.0,4.0,21351.0,2517.0,0.818,1887.0,32.0,0.882,0.11800000000000001
1323,Existing Customer,32.0,M,1.0,Unknown,Married,$40K - $60K,Blue,36.0,3.0,2.0,4.0,8998.0,1471.0,0.8440000000000001,1931.0,48.0,0.371,0.163
1324,Existing Customer,58.0,F,4.0,Graduate,Married,Unknown,Blue,42.0,3.0,3.0,4.0,10247.0,1600.0,0.63,1754.0,44.0,0.6920000000000001,0.156
1325,Existing Customer,54.0,M,3.0,High School,Married,$120K +,Blue,42.0,6.0,3.0,2.0,20311.0,1655.0,0.431,1266.0,34.0,0.308,0.081
1328,Attrited Customer,56.0,M,3.0,Graduate,Single,$60K - $80K,Blue,36.0,2.0,2.0,3.0,4742.0,855.0,0.635,870.0,24.0,0.5,0.18
1329,Existing Customer,33.0,M,3.0,Graduate,Married,$60K - $80K,Blue,36.0,5.0,1.0,3.0,1726.0,1215.0,1.175,1712.0,48.0,0.5479999999999999,0.7040000000000001
1331,Existing Customer,61.0,M,0.0,Graduate,Married,$60K - $80K,Blue,49.0,4.0,3.0,4.0,3352.0,1713.0,0.657,1952.0,50.0,0.667,0.511
1332,Existing Customer,43.0,M,4.0,Uneducated,Single,$40K - $60K,Blue,39.0,5.0,2.0,2.0,6648.0,2242.0,0.79,2089.0,60.0,0.579,0.337
1333,Existing Customer,48.0,F,3.0,College,Divorced,Less than $40K,Blue,36.0,4.0,3.0,3.0,2335.0,1845.0,0.537,1362.0,33.0,0.26899999999999996,0.79
1334,Existing Customer,36.0,M,3.0,Graduate,Married,$60K - $80K,Blue,27.0,4.0,3.0,2.0,12397.0,1001.0,0.7559999999999999,1888.0,42.0,0.44799999999999995,0.081
1337,Existing Customer,43.0,F,5.0,Unknown,Single,$40K - $60K,Blue,33.0,4.0,3.0,4.0,5330.0,1161.0,0.5579999999999999,1441.0,43.0,0.387,0.218
1338,Existing Customer,61.0,F,1.0,High School,Married,Less than $40K,Blue,51.0,3.0,3.0,3.0,1795.0,794.0,0.953,1834.0,59.0,1.107,0.442
1339,Existing Customer,55.0,M,2.0,High School,Married,$80K - $120K,Blue,47.0,3.0,1.0,4.0,5741.0,1894.0,1.111,2170.0,51.0,0.9620000000000001,0.33
1340,Existing Customer,51.0,F,1.0,Graduate,Married,Unknown,Blue,39.0,4.0,3.0,3.0,2002.0,1248.0,0.502,1585.0,40.0,0.905,0.623
1342,Existing Customer,52.0,M,2.0,Uneducated,Single,$80K - $120K,Blue,36.0,3.0,1.0,4.0,22103.0,1515.0,0.506,1541.0,29.0,0.318,0.069
1344,Attrited Customer,45.0,F,3.0,High School,Married,$40K - $60K,Blue,30.0,5.0,2.0,2.0,12355.0,0.0,0.912,1044.0,28.0,0.273,0.0
1345,Existing Customer,34.0,F,3.0,College,Married,$40K - $60K,Blue,29.0,4.0,1.0,2.0,2000.0,0.0,0.782,1944.0,42.0,0.75,0.0
1347,Existing Customer,49.0,F,5.0,Unknown,Divorced,Less than $40K,Blue,36.0,4.0,1.0,4.0,9165.0,0.0,0.597,1846.0,56.0,0.647,0.0
1348,Existing Customer,43.0,F,1.0,Graduate,Married,Less than $40K,Silver,31.0,5.0,1.0,2.0,11583.0,631.0,0.7140000000000001,3320.0,55.0,0.774,0.054000000000000006
1349,Existing Customer,52.0,M,4.0,Graduate,Married,$80K - $120K,Blue,32.0,4.0,3.0,3.0,1438.3,702.0,0.805,1805.0,53.0,0.606,0.488
1351,Attrited Customer,40.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,29.0,3.0,2.0,3.0,3616.0,1151.0,0.687,820.0,21.0,0.75,0.318
1352,Existing Customer,39.0,M,3.0,Graduate,Unknown,$80K - $120K,Blue,31.0,6.0,2.0,4.0,8434.0,2222.0,0.691,1414.0,27.0,0.929,0.263
1353,Existing Customer,45.0,M,3.0,Graduate,Married,$60K - $80K,Blue,25.0,3.0,3.0,2.0,9791.0,1311.0,0.7040000000000001,1649.0,59.0,0.513,0.134
1354,Existing Customer,37.0,F,2.0,Graduate,Single,Less than $40K,Blue,24.0,5.0,2.0,3.0,8444.0,1945.0,0.703,2497.0,74.0,0.609,0.23
1355,Existing Customer,49.0,F,4.0,Graduate,Divorced,Less than $40K,Blue,43.0,3.0,1.0,4.0,2228.0,1003.0,1.119,2104.0,44.0,0.467,0.45
1356,Attrited Customer,56.0,M,3.0,Graduate,Married,$120K +,Blue,36.0,5.0,1.0,1.0,12211.0,0.0,0.642,903.0,29.0,0.526,0.0
1357,Existing Customer,62.0,F,0.0,High School,Married,Less than $40K,Blue,51.0,6.0,3.0,4.0,1438.3,0.0,0.7020000000000001,1445.0,38.0,0.31,0.0
1358,Existing Customer,37.0,F,3.0,High School,Married,$40K - $60K,Blue,31.0,5.0,3.0,3.0,1586.0,1038.0,0.973,1724.0,24.0,0.7140000000000001,0.654
1359,Existing Customer,42.0,M,3.0,High School,Single,$40K - $60K,Blue,37.0,3.0,3.0,3.0,2247.0,1045.0,0.9520000000000001,1300.0,31.0,0.55,0.465
1360,Existing Customer,36.0,M,3.0,Graduate,Single,$60K - $80K,Blue,30.0,3.0,4.0,3.0,2789.0,1584.0,0.996,2688.0,60.0,0.7140000000000001,0.568
1361,Existing Customer,59.0,M,0.0,Graduate,Married,$40K - $60K,Blue,53.0,3.0,2.0,3.0,4241.0,0.0,0.607,1798.0,45.0,0.731,0.0
1362,Existing Customer,40.0,F,1.0,Graduate,Married,Unknown,Blue,29.0,5.0,1.0,3.0,8398.0,1892.0,0.861,1489.0,29.0,0.526,0.225
1363,Existing Customer,43.0,M,3.0,High School,Single,$40K - $60K,Blue,36.0,6.0,3.0,3.0,4112.0,768.0,0.413,1334.0,40.0,0.429,0.187
1364,Existing Customer,29.0,M,2.0,Graduate,Divorced,$40K - $60K,Silver,22.0,6.0,2.0,3.0,15578.0,1383.0,0.794,2492.0,71.0,0.614,0.08900000000000001
1365,Existing Customer,42.0,F,4.0,Graduate,Married,$40K - $60K,Blue,36.0,6.0,2.0,2.0,4008.0,1636.0,0.637,1395.0,43.0,0.955,0.408
1366,Existing Customer,63.0,F,1.0,High School,Married,Unknown,Blue,50.0,6.0,1.0,3.0,12766.0,0.0,0.6679999999999999,1191.0,28.0,0.647,0.0
1367,Existing Customer,36.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,24.0,5.0,2.0,4.0,3438.0,1129.0,0.605,2331.0,56.0,0.436,0.32799999999999996
1368,Existing Customer,53.0,M,4.0,High School,Married,$80K - $120K,Blue,43.0,3.0,1.0,2.0,16692.0,2446.0,0.853,1288.0,29.0,0.45,0.147
1370,Existing Customer,36.0,M,3.0,Unknown,Married,$60K - $80K,Blue,30.0,5.0,2.0,3.0,13080.0,0.0,0.685,1999.0,44.0,0.5710000000000001,0.0
1371,Existing Customer,26.0,M,0.0,College,Single,Less than $40K,Blue,36.0,4.0,1.0,2.0,1934.0,1070.0,0.44799999999999995,2334.0,61.0,0.452,0.5529999999999999
1372,Existing Customer,45.0,F,0.0,Unknown,Single,Less than $40K,Blue,36.0,6.0,2.0,3.0,3230.0,2517.0,0.615,1931.0,57.0,0.425,0.779
1373,Existing Customer,55.0,F,0.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,2.0,4.0,3615.0,1699.0,0.5760000000000001,1967.0,40.0,0.5379999999999999,0.47
1375,Existing Customer,26.0,M,0.0,Uneducated,Single,Less than $40K,Blue,36.0,4.0,3.0,4.0,2665.0,1567.0,0.586,2514.0,64.0,0.455,0.588
1377,Existing Customer,38.0,M,2.0,Graduate,Single,$40K - $60K,Blue,24.0,6.0,3.0,2.0,14632.0,1158.0,0.501,1399.0,36.0,0.5,0.079
1378,Existing Customer,32.0,F,0.0,College,Married,Unknown,Blue,36.0,5.0,3.0,3.0,6715.0,1314.0,0.987,1731.0,41.0,0.519,0.196
1379,Existing Customer,53.0,M,2.0,Unknown,Married,$60K - $80K,Blue,46.0,3.0,2.0,3.0,6658.0,1761.0,0.489,1309.0,40.0,0.6,0.264
1380,Existing Customer,52.0,F,2.0,Graduate,Single,$40K - $60K,Blue,44.0,6.0,2.0,3.0,3360.0,1219.0,0.41200000000000003,1309.0,30.0,1.0,0.363
1384,Existing Customer,46.0,F,4.0,High School,Married,Less than $40K,Blue,36.0,3.0,3.0,4.0,1438.3,981.0,0.6629999999999999,1114.0,33.0,0.65,0.682
1388,Existing Customer,37.0,F,1.0,Graduate,Unknown,$40K - $60K,Blue,30.0,5.0,3.0,4.0,13355.0,1631.0,1.113,1921.0,37.0,0.85,0.122
1389,Existing Customer,57.0,F,2.0,Unknown,Divorced,$40K - $60K,Blue,36.0,5.0,2.0,2.0,3251.0,1887.0,1.0070000000000001,3228.0,67.0,0.763,0.58
1390,Existing Customer,35.0,M,2.0,High School,Single,$40K - $60K,Blue,36.0,5.0,3.0,4.0,2100.0,950.0,0.764,2623.0,74.0,1.114,0.452
1391,Existing Customer,55.0,F,1.0,Unknown,Married,Less than $40K,Blue,50.0,5.0,3.0,4.0,3566.0,1401.0,0.903,2425.0,54.0,0.8,0.39299999999999996
1392,Existing Customer,56.0,F,4.0,Graduate,Married,Unknown,Blue,49.0,5.0,1.0,3.0,14915.0,1111.0,0.846,1388.0,35.0,0.667,0.07400000000000001
1393,Existing Customer,39.0,M,2.0,Graduate,Married,$60K - $80K,Blue,27.0,3.0,1.0,4.0,13003.0,0.0,0.877,1697.0,40.0,1.105,0.0
1395,Existing Customer,37.0,F,4.0,Graduate,Married,Less than $40K,Blue,31.0,5.0,2.0,3.0,1758.0,1180.0,0.7440000000000001,2013.0,41.0,0.36700000000000005,0.6709999999999999
1396,Existing Customer,34.0,M,1.0,College,Married,$60K - $80K,Blue,23.0,3.0,2.0,2.0,5510.0,1604.0,0.551,1995.0,53.0,0.262,0.29100000000000004
1398,Existing Customer,65.0,F,0.0,High School,Married,$40K - $60K,Blue,46.0,6.0,1.0,3.0,5877.0,1697.0,1.058,2494.0,58.0,0.706,0.289
1399,Existing Customer,36.0,M,0.0,Graduate,Married,$60K - $80K,Blue,31.0,5.0,1.0,2.0,7667.0,0.0,0.632,1501.0,35.0,0.667,0.0
1400,Existing Customer,35.0,F,2.0,College,Married,$40K - $60K,Blue,24.0,4.0,1.0,3.0,2939.0,1865.0,0.932,2077.0,47.0,0.679,0.635
1402,Existing Customer,46.0,F,3.0,Uneducated,Single,Unknown,Blue,33.0,5.0,3.0,4.0,19995.0,0.0,0.65,1879.0,34.0,0.7,0.0
1403,Existing Customer,26.0,M,0.0,Post-Graduate,Married,$40K - $60K,Blue,36.0,6.0,1.0,4.0,2773.0,2080.0,0.695,3567.0,73.0,0.622,0.75
1404,Existing Customer,52.0,M,3.0,Graduate,Single,$60K - $80K,Blue,44.0,4.0,2.0,4.0,3323.0,2310.0,0.7490000000000001,1599.0,47.0,0.8079999999999999,0.695
1405,Existing Customer,38.0,F,0.0,Graduate,Married,Unknown,Blue,28.0,5.0,3.0,3.0,16049.0,799.0,0.777,1989.0,33.0,0.5710000000000001,0.05
1406,Existing Customer,37.0,M,1.0,High School,Married,$40K - $60K,Blue,28.0,3.0,4.0,2.0,3601.0,1236.0,0.726,1802.0,34.0,0.478,0.34299999999999997
1408,Existing Customer,59.0,M,1.0,Uneducated,Married,$60K - $80K,Blue,36.0,4.0,3.0,3.0,3742.0,1175.0,0.514,1505.0,31.0,0.8240000000000001,0.314
1410,Existing Customer,39.0,F,3.0,Post-Graduate,Unknown,Unknown,Blue,26.0,6.0,1.0,4.0,3209.0,2517.0,0.431,1292.0,37.0,0.762,0.784
1411,Existing Customer,59.0,M,0.0,Graduate,Married,$60K - $80K,Blue,53.0,6.0,1.0,4.0,12554.0,2169.0,0.529,1422.0,30.0,0.579,0.17300000000000001
1412,Existing Customer,50.0,M,1.0,Graduate,Married,$60K - $80K,Blue,34.0,6.0,3.0,4.0,4702.0,0.0,0.578,1673.0,44.0,0.257,0.0
1415,Attrited Customer,51.0,F,2.0,College,Married,$40K - $60K,Blue,46.0,3.0,1.0,3.0,4882.0,695.0,0.508,1544.0,44.0,0.517,0.142
1418,Existing Customer,49.0,F,2.0,Uneducated,Single,Less than $40K,Blue,37.0,5.0,1.0,4.0,2934.0,2381.0,0.762,3396.0,64.0,0.778,0.812
1420,Existing Customer,40.0,F,3.0,High School,Unknown,Less than $40K,Blue,36.0,5.0,2.0,2.0,5525.0,2409.0,0.929,2305.0,33.0,0.941,0.436
1421,Existing Customer,36.0,F,3.0,Uneducated,Single,Less than $40K,Blue,36.0,5.0,2.0,4.0,5750.0,1521.0,0.8370000000000001,2155.0,61.0,0.605,0.265
1423,Existing Customer,37.0,M,3.0,Doctorate,Single,$80K - $120K,Blue,36.0,5.0,2.0,4.0,12830.0,0.0,0.774,2526.0,54.0,0.588,0.0
1424,Existing Customer,51.0,F,4.0,Unknown,Single,Less than $40K,Blue,41.0,3.0,1.0,3.0,5530.0,1999.0,1.018,1766.0,45.0,0.667,0.361
1425,Existing Customer,36.0,F,2.0,Uneducated,Single,Less than $40K,Blue,30.0,6.0,2.0,3.0,2684.0,1474.0,1.042,2346.0,51.0,1.04,0.5489999999999999
1426,Existing Customer,62.0,M,1.0,Graduate,Married,$80K - $120K,Blue,49.0,3.0,1.0,2.0,2437.0,1400.0,0.779,1651.0,32.0,1.0,0.574
1427,Existing Customer,31.0,F,0.0,Uneducated,Single,Less than $40K,Blue,24.0,3.0,2.0,4.0,3827.0,1397.0,0.88,2491.0,64.0,1.0,0.365
1429,Existing Customer,38.0,M,2.0,High School,Married,$60K - $80K,Blue,33.0,6.0,3.0,4.0,5940.0,1101.0,0.9420000000000001,1872.0,34.0,1.125,0.185
1430,Attrited Customer,45.0,M,3.0,Graduate,Single,$60K - $80K,Blue,32.0,2.0,3.0,2.0,13162.0,0.0,0.512,1424.0,38.0,0.583,0.0
1431,Existing Customer,50.0,F,2.0,Graduate,Married,Less than $40K,Blue,37.0,3.0,2.0,4.0,1963.0,1357.0,0.6890000000000001,1861.0,51.0,0.7,0.691
1433,Existing Customer,35.0,M,2.0,High School,Married,$80K - $120K,Blue,22.0,3.0,1.0,4.0,3023.0,1435.0,0.62,1920.0,34.0,0.619,0.475
1434,Existing Customer,58.0,M,3.0,High School,Single,$120K +,Blue,53.0,4.0,1.0,2.0,6103.0,1798.0,0.705,1468.0,34.0,0.619,0.295
1435,Existing Customer,42.0,M,5.0,Graduate,Married,$60K - $80K,Blue,34.0,3.0,3.0,3.0,10607.0,2517.0,1.197,1903.0,40.0,0.5379999999999999,0.237
1436,Existing Customer,32.0,F,0.0,College,Single,Less than $40K,Blue,24.0,3.0,3.0,4.0,2917.0,2517.0,0.833,2471.0,60.0,0.875,0.863
1440,Existing Customer,42.0,M,2.0,Unknown,Single,$120K +,Blue,32.0,5.0,2.0,4.0,4111.0,1233.0,0.478,1289.0,36.0,0.5,0.3
1441,Existing Customer,36.0,F,0.0,Uneducated,Single,Unknown,Blue,18.0,5.0,3.0,2.0,3667.0,948.0,0.6409999999999999,2781.0,59.0,0.8440000000000001,0.259
1442,Existing Customer,42.0,M,3.0,Graduate,Divorced,$40K - $60K,Blue,33.0,4.0,2.0,4.0,3178.0,1800.0,0.89,4605.0,86.0,0.623,0.5660000000000001
1443,Attrited Customer,37.0,F,3.0,Graduate,Unknown,Unknown,Blue,22.0,2.0,3.0,2.0,5674.0,0.0,0.9059999999999999,1096.0,29.0,0.526,0.0
1445,Existing Customer,29.0,M,1.0,High School,Married,$40K - $60K,Blue,36.0,3.0,1.0,3.0,1438.3,0.0,0.742,2144.0,41.0,0.5770000000000001,0.0
1446,Existing Customer,54.0,M,2.0,Uneducated,Divorced,$40K - $60K,Blue,34.0,4.0,3.0,4.0,6387.0,1597.0,0.6890000000000001,1294.0,26.0,0.529,0.25
1447,Existing Customer,33.0,M,2.0,Graduate,Married,$40K - $60K,Blue,20.0,4.0,3.0,3.0,5657.0,1792.0,0.904,1914.0,46.0,0.769,0.317
1449,Existing Customer,49.0,M,2.0,Post-Graduate,Married,$60K - $80K,Blue,37.0,5.0,3.0,3.0,2608.0,1589.0,0.982,2073.0,47.0,0.516,0.609
1452,Existing Customer,57.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,38.0,5.0,3.0,3.0,2472.0,2457.0,0.693,1392.0,33.0,0.737,0.9940000000000001
1453,Existing Customer,52.0,F,3.0,Uneducated,Married,Less than $40K,Blue,43.0,4.0,3.0,3.0,2147.0,1173.0,0.653,1352.0,37.0,0.37,0.546
1454,Existing Customer,52.0,F,3.0,Graduate,Single,Less than $40K,Blue,44.0,4.0,1.0,3.0,3416.0,2044.0,0.9940000000000001,1924.0,48.0,0.92,0.598
1456,Existing Customer,50.0,F,5.0,Unknown,Unknown,Unknown,Blue,43.0,5.0,1.0,2.0,3410.0,2281.0,0.518,1296.0,31.0,0.348,0.669
1457,Existing Customer,43.0,M,3.0,College,Unknown,$60K - $80K,Blue,37.0,5.0,2.0,3.0,19044.0,0.0,0.721,1780.0,44.0,0.76,0.0
1458,Existing Customer,36.0,M,2.0,Post-Graduate,Single,$60K - $80K,Blue,30.0,4.0,2.0,4.0,1606.0,798.0,0.59,2229.0,45.0,1.045,0.49700000000000005
